породы,Агрессивность,Дрессировка,Потребность в уходе,Здоровье,Отношение к одиночеству,Шум,Активность,Линька,Дружелюбность,Интелект,Охранные качества,размер,редкость,отношение к детям,Время затратность
Австралийская овчарка(асуси),7,9,7,9,3,8,8,7,9,10,5,7,6,9,5
Азавак,3,5,5,7,5,4,9,4,8,9,3,7,9,4,9
акита-ину,8,5,4,5,7,4,10,8,6,6,9,9,5,2,8
Алабай(Среднеазиатская овчарка),7,7,3,6,7,8,8,6,9,7,9,10,5,10,6
Аляскинский кли-кай,5,8,8,6,4,9,7,7,7,9,1,5,9,8,7
Аляскинский маламут,4,8,7,7,5,6,7,9,3,9,4,9,3,7,9
Американская акита,5,7,5,5,2,3,8,8,4,9,9,10,8,4,7
Американский бандог,7,6,5,7,3,2,7,5,6,5,9,10,3,7,6
Американский булли,9,7,5,4,6,1,6,3,7,6,5,6,3,9,3
Американский бульдог,5,7,5,7,3,5,9,7,5,7,7,7,5,7,7
Американский голый терьер,5,6,6,7,4,9,10,2,8,8,6,3,9,7,5
Американский кокер-спаниель,8,5,10,5,6,7,6,10,6,9,7,4,5,8,7
Американский стаффордширский терьер,7,5,2,6,3,3,8,3,7,5,5,5,5,8,9
Английский бульдог,7,6,6,6,5,5,5,7,10,6,6,7,5,9,2
Английский кокер-спаниель,7,8,9,7,6,6,7,9,7,7,6,4,4,9,5
Английский мастиф,7,7,4,5,6,3,3,6,10,7,10,9,9,7,1
Английский пойнтер,5,6,2,3,1,3,8,3,7,6,8,7,8,5,10
Английский сеттер,1,6,9,7,6,4,9,5,6,7,5,6,4,9,5
Английский той-терьер,3,7,5,5,3,8,6,5,6,6,7,1,5,5,9
Английский фоксхаунд,6,5,3,9,5,10,9,7,7,7,5,8,7,5,10
Аппенцеллер зенненхунд,1,5,9,5,5,3,3,8,8,9,9,7,5,10,7
Аргентинский дог,8,4,2,5,5,1,5,7,7,5,9,8,6,5,9
Афганская Борзая,4,4,9,6,5,3,5,9,6,6,1,7,6,6,10
Аффенпинчер,4,7,7,7,1,9,7,5,3,7,9,3,6,5,7
Банхар,5,7,4,10,8,5,9,5,9,7,10,9,10,8,7
Басенджи,3,6,5,7,7,3,5,3,9,5,1,6,1,3,8
Бассет-хаунд,4,6,5,6,5,2,5,5,10,6,1,5,5,3,8
Бедлингтон-терьер,7,7,7,6,6,9,9,5,9,9,6,4,9,7,7
Белая швейцарская овчарка,1,9,5,10,5,8,9,6,10,10,9,7,7,9,7
Бельгийская овчарка,7,10,6,3,5,5,10,5,9,10,9,5,7,9,8
Бельгийский гриффон,7,3,7,5,3,9,9,6,2,7,4,3,8,6,5
Бернский зенненхунд,4,10,10,6,3,6,8,10,9,10,9,8,9,9,5
"Бивер-йоркширский терьер
",3,6,9,8,4,10,9,2,8,5,7,2,3,5,7
Бигль,4,7,5,6,2,5,7,6,8,5,8,4,3,5,5
Бишон фризе,3,5,10,8,5,7,6,5,6,6,7,1,5,5,2
Бладхаунд,6,6,6,7,7,3,8,6,9,8,6,7,9,10,8
Бобтейл,3,5,10,5,7,4,5,7,10,7,5,7,3,9,4
Боксер,7,7,7,6,6,7,10,6,9,6,10,7,1,6,7
Большой швейцарский зенненхунд,2,7,9,6,3,3,6,9,9,8,10,10,8,9,5
Бордер-колли,5,9,7,8,3,5,10,9,10,10,9,7,2,10,7
Бордер-терьер,6,8,4,5,6,10,9,5,7,7,9,5,7,6,5
Бордоский дог,2,7,5,4,8,5,5,5,5,5,9,10,7,4,9
Босерон,3,7,5,7,5,5,9,5,6,9,9,7,8,7,7
Бостон-терьер,6,6,3,6,3,5,10,3,10,6,6,5,5,7,3
